iter	Passed	Remaining
407	5581	35457
408	5595	35444
409	5608	35430
410	5621	35412
411	5634	35394
412	5647	35375
413	5660	35357
414	5673	35341
415	5691	35350
416	5707	35356
417	5722	35348
418	5735	35332
419	5750	35326
420	5765	35317
421	5779	35309
422	5793	35292
423	5806	35275
424	5818	35255
425	5832	35239
426	5846	35232
427	5861	35224
428	5875	35210
429	5888	35193
430	5901	35177
431	5915	35166
432	5928	35148
433	5942	35133
434	5955	35116
435	5968	35098
436	5982	35086
437	5995	35072
438	6008	35052
439	6021	35034
440	6036	35026
441	6050	35013
442	6063	35000
443	6076	34981
444	6089	34964
445	6102	34944
446	6115	34927
447	6128	34910
448	6141	34891
449	6154	34873
450	6167	34855
451	6180	34839
452	6193	34822
453	6206	34807
454	6219	34790
455	6232	34772
456	6246	34758
457	6259	34740
458	6271	34721
459	6284	34702
460	6297	34683
461	6310	34666
462	6323	34649
463	6336	34633
464	6351	34627
465	6364	34609
466	6377	34591
467	6390	34576
468	6415	34619
469	6444	34690
470	6473	34757
471	6486	34742
472	6500	34726
473	6513	34709
474	6525	34690
475	6539	34675
476	6553	34665
477	6569	34664
478	6585	34657
479	6598	34642
480	6611	34624
481	6626	34615
482	6641	34608
483	6655	34597
484	6669	34582
485	6682	34566
486	6697	34558
487	6711	34548
488	6724	34531
489	6737	34512
490	6750	34496
491	6765	34485
492	6778	34468
493	6791	34451
494	6804	34435
495	6817	34418
496	6831	34403
497	6844	34385
498	6857	34368
499	6870	34351
500	6883	34336
501	6897	34321
502	6910	34303
503	6923	34288
504	6936	34271
505	6949	34255
506	6963	34239
507	6976	34222
508	6989	34204
509	7002	34187
510	7015	34170
511	7029	34158
512	7042	34142
513	7055	34125
514	7068	34107
515	7081	34089
516	7094	34072
517	7107	34055
518	7120	34038
519	7133	34022
520	7146	34005
521	7159	33989
522	7173	33972
523	7186	33957
524	7199	33939
525	7212	33924
526	7226	33909
527	7239	33894
528	7253	33880
529	7267	33870
530	7281	33856
531	7295	33844
532	7309	33830
533	7322	33814
534	7335	33798
535	7348	33781
536	7362	33767
537	7375	33751
538	7388	33735
539	7401	33717
540	7414	33700
541	7427	33683
542	7440	33668
543	7453	33652
544	7467	33635
545	7480	33619
546	7492	33601
547	7505	33584
548	7518	33568
549	7532	33554
550	7545	33536
551	7558	33519
552	7571	33503
553	7585	33491
554	7600	33482
555	7614	33469
556	7627	33456
557	7641	33440
558	7654	33423
559	7667	33407
560	7680	33391
561	7693	33375
562	7706	33359
563	7719	33342
564	7732	33326
565	7746	33310
566	7759	33294
567	7772	33280
568	7785	33262
569	7798	33246
570	7811	33229
571	7824	33212
572	7838	33199
573	7851	33182
574	7864	33168
575	7878	33154
576	7891	33138
577	7904	33121
578	7917	33105
579	7930	33090
580	7944	33077
581	7957	33061
582	7971	33046
583	7984	33030
584	7997	33016
585	8011	33004
586	8025	32991
587	8039	32978
588	8052	32962
589	8065	32946
590	8078	32929
591	8091	32913
592	8105	32898
593	8117	32881
594	8131	32866
595	8143	32848
596	8156	32832
597	8169	32816
598	8182	32800
599	8195	32783
600	8208	32766
601	8221	32751
602	8234	32734
603	8248	32721
604	8261	32705
605	8274	32689
606	8287	32673
607	8302	32662
608	8317	32656
609	8340	32679
610	8357	32676
611	8371	32666
612	8385	32651
613	8398	32635
614	8411	32619
615	8424	32603
616	8437	32589
617	8451	32574
618	8466	32565
619	8481	32557
620	8495	32547
621	8509	32533
622	8522	32516
623	8535	32500
624	8548	32484
625	8561	32468
626	8574	32451
627	8587	32435
628	8600	32418
629	8613	32402
630	8626	32385
631	8640	32372
632	8654	32362
633	8667	32346
634	8680	32331
635	8693	32313
636	8706	32298
637	8719	32282
638	8733	32267
639	8746	32253
640	8761	32243
641	8775	32232
642	8789	32219
643	8803	32205
644	8818	32197
645	8831	32183
646	8845	32169
647	8858	32153
648	8871	32138
649	8884	32122
650	8898	32107
651	8911	32092
652	8924	32075
653	8937	32061
654	8952	32050
655	8965	32036
656	8979	32023
657	8993	32009
658	9007	31996
659	9020	31982
660	9033	31966
661	9046	31950
662	9059	31933
663	9072	31917
664	9085	31901
665	9098	31885
666	9111	31870
667	9125	31855
668	9138	31839
669	9151	31823
670	9164	31809
671	9177	31793
672	9190	31777
673	9203	31761
674	9216	31745
675	9229	31730
676	9252	31747
677	9273	31759
678	9286	31744
679	9299	31729
680	9313	31714
681	9327	31701
682	9342	31693
683	9356	31681
684	9370	31667
685	9383	31651
686	9396	31636
687	9409	31621
688	9422	31605
689	9452	31644
690	9465	31628
691	9477	31611
692	9491	31596
693	9504	31582
694	9517	31566
695	9530	31550
696	9544	31535
697	9557	31519
698	9570	31503
699	9583	31487
700	9596	31471
701	9609	31455
702	9622	31440
703	9636	31428
704	9649	31413
