iter	Logloss
0	0.6930911381
1	0.6930341223
2	0.6929808612
3	0.6929297454
4	0.692873266
5	0.6928157675
6	0.6927626673
7	0.6927117124
8	0.6926585049
9	0.6926270202
10	0.692571399
11	0.6925136323
12	0.6924620875
13	0.6924118299
14	0.6923583006
15	0.6923036984
16	0.69224856
17	0.6922005015
18	0.6921515849
19	0.6921014883
20	0.6920561117
21	0.6920087505
22	0.6919579566
23	0.6919104882
24	0.691861357
25	0.6918132449
26	0.6917679756
27	0.6917236181
28	0.6916778124
29	0.691636244
30	0.6915955337
31	0.6915543944
32	0.6915114315
33	0.6914655185
34	0.6914240574
35	0.6913859217
36	0.6913532034
37	0.6913105086
38	0.6912703347
39	0.6912296245
40	0.6911819952
41	0.6911380667
42	0.6910978929
43	0.691054179
44	0.6910136297
45	0.6909723831
46	0.6909337111
47	0.6908931082
48	0.6908551871
49	0.6908242387
50	0.6907899649
51	0.6907574611
52	0.6907210418
53	0.6906855343
54	0.6906456823
55	0.6906036848
56	0.690565281
57	0.6905339571
58	0.6904993079
59	0.6904605822
60	0.6904179947
61	0.6903901037
62	0.6903522362
63	0.6903138323
64	0.6902740339
65	0.6902422274
66	0.6902062372
67	0.6901763616
68	0.6901475051
69	0.6901145722
70	0.690085072
71	0.6900528364
72	0.6900173826
73	0.6899921733
74	0.6899592404
75	0.689926093
76	0.6898921946
77	0.6898575453
78	0.6898353398
79	0.6898014414
80	0.6897638421
81	0.689731821
82	0.6897024818
83	0.689665848
84	0.6896359723
85	0.6896070622
86	0.6895774011
87	0.6895442537
88	0.6895158262
89	0.6894886325
90	0.6894637451
91	0.6894320458
92	0.6894039938
93	0.6893678964
94	0.6893397908
95	0.6893189261
96	0.6892933951
97	0.6892602476
98	0.6892339656
99	0.6892074691
100	0.6891805435
